#consensus_taxonomy,s1,s2,s3,AVG
Streptococcus thermophilus [ref_mOTU_v3_01348],0.9732575074,0.942453788,0.9396097424,0.9517736792666667
unassigned,0.0107192437,0.040857564,0.0467208138,0.03276587383333333
Lactobacillus delbrueckii [ref_mOTU_v3_01298],0.0137911554,0.0149121613,0.0115781834,0.013427166700000001
Anoxybacillus flavithermus [ref_mOTU_v3_03158],0.0014865438,0.0013571821,0.0013271825,0.0013903028
Geobacillus stearothermophilus [ref_mOTU_v3_04164],0.0002532199,0.0001210262,0.0003404114,0.00023821916666666668
Streptococcus salivarius [ref_mOTU_v3_01350],0.0001556494,0.0001155155,0.0001732288,0.00014813123333333334
Lactococcus piscium [ref_mOTU_v3_04162],7.39527e-05,8.26333e-05,0.0001009995,8.586183333333334e-05
Anoxybacillus flavithermus [ref_mOTU_v3_03159],9.83136e-05,0.0,0.0001494382,8.258393333333333e-05
Vibrio sp. [ref_mOTU_v3_01404],0.0,0.0001001296,0.0,3.3376533333333335e-05
Streptococcus salivarius [ref_mOTU_v3_01349],9.47467e-05,0.0,0.0,3.158223333333333e-05
Vibrio alginolyticus [ref_mOTU_v3_00029],6.96673e-05,0.0,0.0,2.3222433333333333e-05
